id,title,venue,year,lifecycle_phase,role,evidence_tier
"[R1] pearce2022asleep","Asleep at the Keyboard?","IEEE S&P",2022,"Code/deps","Risk","E2"
"[R2] perry2023users","Do Users Write More Insecure Code with AI Assistants?","ACM CCS",2023,"Code/deps","Risk","E1"
"[R3] sandoval2023lostatc","Lost at C","USENIX Security",2023,"Code/deps","Risk","E1"
"[R4] khoury2023chatgpt","How Secure is Code Generated by ChatGPT?","IEEE SMC",2023,"Code/deps","Risk","E2"
"[R5] majdinasab2024replication","Assessing Copilot's Generated Code (replication)","IEEE SANER",2024,"Code/deps","Risk","E2"
"[R6] spracklen2025package","Package Hallucinations by Code-Generating LLMs","USENIX Security",2025,"Code/deps","Risk","E2"
"[R7] carlini2021extracting","Extracting Training Data from LLMs","USENIX Security",2021,"Code/deps","Risk","E1"
"[R8] niu2023codexleaks","CodexLeaks","USENIX Security",2023,"Code/deps","Risk","E1"
"[R9] schuster2021autocomplete","You Autocomplete Me","USENIX Security",2021,"Build/CI","Risk","E1"
"[R10] aghakhani2024trojanpuzzle","TrojanPuzzle","IEEE S&P",2024,"Build/CI","Risk","E1"
"[R11] greshake2023injection","Indirect Prompt Injection","ACM AISec",2023,"Build/CI","Risk","E1"
"[R12] liu2024promptinjection","Formalizing/Benchmarking Prompt Injection","USENIX Security",2024,"Build/CI","Risk","E2"
"[R13] debenedetti2024agentdojo","AgentDojo","NeurIPS D&B",2024,"Build/CI","Risk+Def","E2"
"[D1] chen2025struq","StruQ","USENIX Security",2025,"Build/CI","Defense","E2"
"[D2] he2023sven","SVEN: Security Hardening","ACM CCS",2023,"Code/deps","Defense","E2"
"[D3] he2024safecoder","Instruction Tuning for Secure Code (SafeCoder)","ICML",2024,"Code/deps","Defense","E2"
"[D4] li2018vuldeepecker","VulDeePecker","NDSS",2018,"Test/verify","Defense","E2"
"[D5] zhou2019devign","Devign","NeurIPS",2019,"Test/verify","Defense","E2"
"[D6] chakraborty2022arewethere","DL Vulnerability Detection: Are We There Yet?","IEEE TSE",2022,"Test/verify","Defense","E2"
"[D7] pearce2023repair","Examining Zero-Shot Vulnerability Repair","IEEE S&P",2023,"Test/verify","Defense","E2"
"[D8] xia2023apr","APR in the Era of Large Pre-Trained LMs","ICSE",2023,"Test/verify","Defense","E2"
"[D9] deng2023titanfuzz","TitanFuzz","ISSTA",2023,"Test/verify","Defense","E2"
"[D10] xia2024fuzz4all","Fuzz4All","ICSE",2024,"Test/verify","Defense","E2"
"[D11] google2024ossfuzz","OSS-Fuzz + LLM (industry report)","Google Sec. Blog",2024,"Test/verify","Defense","E1*"
